job,kind,state,source,branch,gradient_l2,clip_coefficient,master_update_l2,bf16_l2,bf16_nonzero_fraction,bf16_fraction_above_1e5
density-m-pg250-draw44,density,m-pg250,raw/density-m-pg250-draw44/measurements.json,sampled_pg_draw2,56.908838121004365,0.01757196272926453,0.002970208092086902,0.025482924844601965,0.0019225183709750758,0.0003708812512684132
density-m-pg250-draw44,density,m-pg250,raw/density-m-pg250-draw44/measurements.json,sampled_pg_draw3,179.378715581154,0.0055747973843239245,0.0029432539481537355,0.025459584323344157,0.0019070642347875225,0.0003688912188386959
density-m-pg250-draw45,density,m-pg250,raw/density-m-pg250-draw45/measurements.json,zero_gradient,0.0,1.0,0.0027722796568962543,0.025076689644376968,0.0018186612287449657,0.00035150342672425334
density-m-pg250-draw45,density,m-pg250,raw/density-m-pg250-draw45/measurements.json,sampled_pg,293.45490121269887,0.0034076786329341694,0.002907459525697329,0.025358077022476194,0.0018871249700193244,0.0003645508093220112
density-m-pg250-draw45,density,m-pg250,raw/density-m-pg250-draw45/measurements.json,student_topk,66.35800847356128,0.0150697708977908,0.0029283098909212535,0.025461878391033962,0.001900479226776805,0.0003678566809517518
density-m-pg250-draw45,density,m-pg250,raw/density-m-pg250-draw45/measurements.json,topk_intersection,61.61993656135156,0.016228513685272002,0.002928343614732147,0.025454192623395367,0.0019004490043216808,0.0003676951070570493
density-m-pg250-draw45,density,m-pg250,raw/density-m-pg250-draw45/measurements.json,teacher_topk,57.30104079610287,0.017451689684078512,0.002929993987536207,0.025461774937301788,0.0019014451829386598,0.0003679642031478668
density-m-pg250-draw45,density,m-pg250,raw/density-m-pg250-draw45/measurements.json,full_vocab,75.56542170724508,0.01323356588467971,0.002925838262330266,0.025459142638326184,0.0018987065635435582,0.000367463207834077
density-m-pg250-draw45,density,m-pg250,raw/density-m-pg250-draw45/measurements.json,sampled_pg_draw1,206.9493248336606,0.004832100785888855,0.002897482010480582,0.02533335567953454,0.0018818186043407853,0.00036381326517676845
density-m-pg250-draw45,density,m-pg250,raw/density-m-pg250-draw45/measurements.json,sampled_pg_draw2,185.04616114412676,0.0054040569575343625,0.0029332585423394153,0.025492037472390407,0.0019022542148142924,0.0003683512830538807
density-m-pg250-draw45,density,m-pg250,raw/density-m-pg250-draw45/measurements.json,sampled_pg_draw3,226.96125106393296,0.004406038435663498,0.0029117178855740146,0.025436310669617202,0.0018907063309515435,0.00036635601981462273
density-s-pg250-draw42,density,s-pg250,raw/density-s-pg250-draw42/measurements.json,zero_gradient,0.0,1.0,0.003416938272290663,0.03386250249229293,0.002180089825972222,0.0004991430260113234
density-s-pg250-draw42,density,s-pg250,raw/density-s-pg250-draw42/measurements.json,sampled_pg,406.013214162712,0.0024629740182206743,0.0034911953684701566,0.03401779581827456,0.002217104196684539,0.0005074617567842624
density-s-pg250-draw42,density,s-pg250,raw/density-s-pg250-draw42/measurements.json,student_topk,17.44193194812135,0.05733309507463212,0.0034905637389699277,0.03401243983936287,0.0022166125005877104,0.0005072897212704784
